COD EAN 13,PRESENTACION,Producto,Mon,Precio Arranque,Descuento Factura %,Neto Factura,Precio Neto UN,Precio Neto KG
7790411000074,2 KG,Y. M. ROSAMONTE 5 X 2000 GRS.,ARS,7110.98,,7110.98,7110.98,3555.49
7790411000043,1 KG,Y. M. ROSAMONTE 10 X 1000 GRS.,ARS,3554.736,,3554.736,3554.736,3554.736
7790411000050,500 GRS,Y. M. ROSAMONTE 10 X 500 GRS,ARS,1876.383,,1876.383,1876.383,3752.766
7790411000067,250 GRS,Y. M. ROSAMONTE 20 X 250 GRS.,ARS,1007.889,,1007.889,1007.889,4031.554
7790411002061,1 KG,ROSAMONTE TRADICIONAL PRENSA 10X1KG,ARS,3554.736,,3554.736,3554.736,3554.736
7790411002054,500 GRS,ROSAMONTE TRADICIONAL PRENSA 10X1/2KG,ARS,1876.383,,1876.383,1876.383,3752.766
7790411000456,1 KG,Y. M. ROSAMONTE LIENZO 5 X 1000 GRS.,ARS,8830.146,,8830.146,8830.146,8830.146
7790411000470,500 GRS,Y. M. ROSAMONTE SUPER ESPECIAL FRASCO 6 X 500 GRS,ARS,6204.22,,6204.22,6204.22,12408.44
7790411001378,500 GRS,Y. M. ROSAMONTE PREMIUM 10 X 500 GRS.,ARS,5048.849,,5048.849,5048.849,10097.697
7790411001392,1 KG,Y. M. FUNDACION FAVALORO 10 X 1000 GRS.,ARS,4397.44,,4397.44,4397.44,4397.44
7790411001408,500 GRS,Y. M. FUNDACION FAVALORO 10 X 500 GRS.,ARS,2317.574,,2317.574,2317.574,4635.149
7790411001491,1 KG,Y. M. ROSAMONTE PLUS 10 X 1000 GRS.,ARS,3711.554,,3711.554,3711.554,3711.554
7790411001507,500 GRS,Y. M. ROSAMONTE PLUS 10 X 500 GRS.,ARS,2020.617,,2020.617,2020.617,4041.234
7790411000012,1 KG,Y. M. ROSAMONTE ESPECIAL 10 X 1000 GRS.,ARS,6102.48,,6102.48,6102.48,6102.48
7790411000029,500 GRS,Y. M. ROSAMONTE ESPECIAL 10 X 500 GRS.,ARS,3203.556,,3203.556,3203.556,6407.111
7790411000494,1 KG,Y. M. ROSAMONTE SUAVE 10 X 1000 GRS.,ARS,4030.164,,4030.164,4030.164,4030.164
7790411000500,500 GRS,Y. M. ROSAMONTE SUAVE 10 X 500 GRS.,ARS,2132.894,,2132.894,2132.894,4265.789
7790411000517,250 GRS,Y. M. ROSAMONTE SUAVE 20 X 250 GRS.,ARS,1146.211,,1146.211,1146.211,4584.846
7790411000531,1 KG,Y. M. ROSAMONTE SUAVE ESPECIAL 10 X 1000 GRS,ARS,4729.693,,4729.693,4729.693,4729.693
7790411000548,500 GRS,Y. M. ROSAMONTE SUAVE ESPECIAL 10 X 500 GRS,ARS,2493.539,,2493.539,2493.539,4987.077
7790411001514,1 KG,Y. M. ROSAMONTE SUAVE PLUS 10 X 1000 GRS.,ARS,4075.536,,4075.536,4075.536,4075.536
7790411001521,500 GRS,Y. M. ROSAMONTE SUAVE PLUS 10 X 500 GRS.,ARS,2151.506,,2151.506,2151.506,4303.011
7790411000807,1 KG,Y. M. ROSAMONTE DESPALADA 10 X 1000 GRS.,ARS,4601.704,,4601.704,4601.704,4601.704
7790411000814,500 GRS,Y. M. ROSAMONTE DESPALADA 10 X 500 GRS.,ARS,2429.331,,2429.331,2429.331,4858.663
7790411001545,1 KG,Y. M. ROSAMONTE JUNIOR TRILAMINA 10 X 1000 GRS,ARS,3711.554,,3711.554,3711.554,3711.554
7790411000210,500 GRS,Y. M. ROSAMONTE JUNIOR 10 X 500 GRS.,ARS,2020.617,,2020.617,2020.617,4041.234
7790411001613,500 GRS,Y. M. ROSAMONTE ZIPPER 10 X 500 GRS.,ARS,2512.359,,2512.359,2512.359,5024.717
7790411001606,250 GRS,Y. M. ROSAMONTE ZIPPER 20 X 250 GRS.,ARS,1545.027,,1545.027,1545.027,6180.109
7790411001590,500 GRS,Y. M. ROSAMONTE SUAVE ZIPPER 10 X 500 GRS.,ARS,2759.006,,2759.006,2759.006,5518.011
7790411001583,250 GRS,Y. M. ROSAMONTE SUAVE ZIPPER 20 X 250 GRS.,ARS,1699.48,,1699.48,1699.48,6797.92
7790411002122,250 GRS,YERBA MATE ORGANICA ZIPPER 20X1/4,ARS,1864.286,,1864.286,1864.286,7457.143
7790411000890,500 GRS,Y. M. ROSAMONTE TERERE 10 X 500 GRS.,ARS,2106.863,,2106.863,2106.863,4213.726
7790411001743,100 GRS,Y. M. ROSAMONTE POCKET 40 X 100 GR,ARS,18736.566,,18736.566,18736.56,4684.141
7790411001767,100 GRS,Y. M. ROSAMONTE POCKET SUAVE 40 X 100 GR,ARS,20221.546,,20221.546,20221.54,5055.387
7790411000463,2 KG,Y. M. CAMPECHE 5 X 2000 GRS.,ARS,7110.98,10.0,6399.881,6399.881,3199.941
7790411000234,1 KG,Y. M. CAMPECHE 10 X 1000 GRS.,ARS,3554.736,10.0,3199.263,3199.263,3199.263
7790411000241,500 GRS,Y. M. CAMPECHE 10 X 500 GRS.,ARS,1876.383,10.0,1688.744,1688.744,3377.489
7790411000258,250 GRS,Y. M. CAMPECHE 20 X 250 GRS.,ARS,1007.889,10.0,907.1,907.1,3628.4
7790411002085,1 KG,CAMPECHE PRENSA 10X1KG,ARS,3554.736,,3554.736,3554.736,3554.736
7790411002078,500 GRS,CAMPECHE PRENSA 10X1/2KG,ARS,1876.383,,1876.383,1876.383,3752.766
7790411001699,1 KG,Y. M. CAMPECHE SUAVE 10 X 1000 GRS.,ARS,3554.736,10.0,3199.263,3199.263,3199.263
7790411001705,500 GRS,Y. M. CAMPECHE SUAVE 10 X 500 GRS.,ARS,1876.383,10.0,1688.744,1688.744,3377.489
7790411002115,500 GRS,YERBA MATE CAMPEONES 10X1/2KG,ARS,1787.271,10.0,1608.544,1608.544,3217.089
7790411000784,25 SAQUITOS,M. C. CAJA 20 X 25 SAQUITOS,ARS,1017.637,,1017.637,1017.637,12720.464
7790411000791,50 SAQUITOS,M. C. CAJA 10 X 50 SAQUITOS,ARS,1572.65,,1572.65,1572.65,10484.333
7790411002092,25 SAQUITOS,MATE COCIDO CAJA 20X25 SAQUITOS X 2GRS,ARS,712.363,,712.363,712.363,14247.257
7790411000296,50 SAQUITOS,M. C. CAJA 10 X 50 SAQUITOS ENSOBRADOS,ARS,2991.904,,2991.904,2991.904,19946.029
7790411001156,300 SAQUITOS,MATE COCIDO X 300 SAQUITOS ENSOBRADOS,ARS,18501.373,,18501.373,18501.37,61671.243
7790411000142,25 SAQUITOS,TE CAJA 20 X 25 SAQUITOS,ARS,686.989,27.0,501.501,501.501,10030.029
7790411000159,50 SAQUITOS,TE CAJA 12 X 50 SAQUITOS,ARS,1298.803,27.0,948.126,948.126,9481.257
7790411000173,25 SAQUITOS,TE CAJA 20 X 25 SAQUITOS ENSOBRADOS,ARS,1397.516,27.0,1020.187,1020.187,20403.743
7790411000180,50 SAQUITOS,TE CAJA 12 X 50 SAQUITOS ENSOBRADOS,ARS,2571.19,27.0,1876.969,1876.969,18769.686
7790411001132,300 SAQUITOS,TE X 300 SAQUITOS ENSOBRADOS,ARS,14818.161,27.0,10817.257,10817.257,108172.571
7790411000289,ACCESORIOS,KIT ROSAMONTE,ARS,46780.95,,46780.95,46780.94,
7790411001163,ACCESORIOS,MINI KIT ROSAMONTE,ARS,14729.64,,14729.64,14729.63,
7790411000265,ACCESORIOS,CAJA 6X1 TERMO MATERO ROSAMONTE,ARS,19139.526,,19139.526,19139.51,
7790411000265,ACCESORIOS,TERMO MATERO ROSAMONTE,ARS,19139.526,,19139.526,19139.51,
7790411000951,ACCESORIOS,CAJA 6X1 TERMO FLIP ROSAMONTE,ARS,18392.339,,18392.339,18392.33,
7790411000951,ACCESORIOS,TERMO FLIP ROSAMONTE,ARS,18392.339,,18392.339,18392.33,
7790411001538,ACCESORIOS,CAJA 4X1 TERMO DE ACERO ROSAMONTE,ARS,66758.147,,66758.147,66758.14,
7790411001538,ACCESORIOS,TERMO DE ACERO ROSAMONTE,ARS,66758.147,,66758.147,66758.14,
7790411002108,ACCESORIOS,TERMO DE ACERO BLACK ROSAMONTE,ARS,66758.147,,66758.147,66758.14,
7790411000821,ACCESORIOS,TERMO TERERE ROSAMONTE,ARS,16515.61,,16515.61,16515.6,
7790411001064,ACCESORIOS,MATE ENCHAPADO,ARS,4285.714,,4285.714,4285.714,
7790411000333,ACCESORIOS,MATE TERMICO ROSAMONTE AMARILLO,ARS,12920.719,,12920.719,12920.719,
7790411000319,ACCESORIOS,MATE TERMICO ROSAMONTE ROJO,ARS,12920.719,,12920.719,12920.719,
7790411000340,ACCESORIOS,MATE TERMICO ROSAMONTE VERDE,ARS,12920.719,,12920.719,12920.719,
7790411000357,ACCESORIOS,MATE TERMICO ROSAMONTE NEGRO,ARS,12920.719,,12920.719,12920.719,
7790411000326,ACCESORIOS,MATE TERMICO ROSAMONTE BLANCO,ARS,12920.719,,12920.719,12920.719,
7790411001736,ACCESORIOS,BOMBILLA ROSAMONTE ACERO INOXIDABLE  C/ RESORTE,ARS,5535.714,,5535.714,5535.714,
7790411001361,ACCESORIOS,BOMBILLA ROSAMONTE ACERO INOXIDABLE,ARS,5535.714,,5535.714,5535.714,
7790411000272,ACCESORIOS,BOMBILLA ROSAMONTE ESPECIAL,ARS,4840.744,,4840.744,4840.744,
7790411002009,ACCESORIOS,BOMBILLA ROSAMONTE ACERO COMUN,ARS,3408.989,,3408.989,3408.989,
